ticker,sector,spider_id,batch,batch_name,total_trades,winning_trades,losing_trades,win_rate_pct,profit_factor,expectancy_r,net_pnl_usd,net_return_pct,gross_wins_usd,gross_losses_usd,avg_win_pct,avg_loss_pct,best_trade_pct,worst_trade_pct,avg_hold_days,stage6_entries,stage7_entries
SSII,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,1620.9316,1697.1024,543163.07,5431.6307,543498.37,335.3,17466.3095,-30.0071,34864.2857,-55.5556,52.8,1,3
PEPG,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,8.276,819.9,8.199,819.9,0.0,149.5895,0.0,149.5895,149.5895,63.0,0,1
PLSE,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,28.7532,7.2647,2194.72,21.9472,2273.8,79.08,227.7776,-13.9849,332.5714,-13.9849,67.0,0,3
NIQ,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,21.7956,7.1007,2282.94,22.8294,2392.72,109.78,17.5345,-1.0984,31.5462,-2.1969,24.2,0,4
TSHA,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,11.2743,6.8473,2052.9,20.529,2252.71,199.81,320.3911,-17.5563,320.3911,-19.4289,25.3,0,3
VIA,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,5,1,4,20.0,9.1618,6.2797,3133.72,31.3372,3517.67,383.95,460.4085,-8.4495,460.4085,-13.3684,48.6,1,4
ALT,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,4,1,80.0,49.4754,5.4701,2583.74,25.8374,2637.04,53.3,97.1147,-7.8502,249.6689,-7.8502,17.6,0,5
ALL,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,5.4451,532.0,5.32,532.0,0.0,23.8544,0.0,23.8544,23.8544,62.0,0,1
CBAN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,5.3049,529.09,5.2909,529.09,0.0,35.288,0.0,35.288,35.288,146.0,1,0
DAVE,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,9.5123,5.0865,1533.83,15.3383,1714.02,180.19,264.6481,-13.2748,264.6481,-14.3958,36.7,0,3
TGTX,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,4,4,0,100.0,inf,4.2462,1662.14,16.6214,1662.14,0.0,67.3733,0.0,123.6742,16.8091,53.5,1,3
CWBC,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,4.1844,727.98,7.2798,727.98,0.0,18.1254,0.0,21.5672,14.6835,32.5,0,2
ARQT,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,6.7254,4.0455,1198.1,11.981,1407.36,209.26,274.5318,-12.5139,274.5318,-13.9376,30.3,1,2
IVVD,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,8.3846,3.7901,1176.66,11.7666,1336.0,159.34,240.2878,-18.6834,240.2878,-18.8327,51.0,0,3
SPRY,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,307.3008,3.7665,1507.0,15.07,1511.92,4.92,56.5212,-0.7595,123.9884,-0.7595,55.8,1,3
PRM,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,3.7043,370.14,3.7014,370.14,0.0,44.6043,0.0,44.6043,44.6043,84.0,0,1
ULTA,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,3.6358,343.65,3.4365,343.65,0.0,16.6711,0.0,16.6711,16.6711,24.0,0,1
OCGN,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,6.4547,3.6254,1087.77,10.8777,1287.19,199.42,113.75,-17.7712,113.75,-19.4846,29.0,1,2
LQDA,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,2,1,1,50.0,8.0464,3.5043,701.19,7.0119,800.7,99.51,69.0122,-8.3783,69.0122,-8.3783,17.0,0,2
TRV,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,1,1,50.0,7.838,3.2957,655.08,6.5508,750.88,95.8,27.3597,-2.8623,27.3597,-2.8623,40.0,0,2
NWPX,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,3.2804,327.6,3.276,327.6,0.0,17.1662,0.0,17.1662,17.1662,76.0,0,1
CVI,Energy,SECTOR_ENERGY,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,3.2285,316.8,3.168,316.8,0.0,28.5611,0.0,28.5611,28.5611,46.0,0,1
VERA,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,23.8804,2.9563,895.54,8.9554,934.68,39.14,55.9788,-5.4846,108.3447,-5.4846,21.0,1,2
PSTG,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,13.2367,2.9137,863.42,8.6342,933.98,70.56,46.1882,-2.3075,46.1882,-3.7883,13.0,0,3
ATXS,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,7.2671,2.8118,1842.04,18.4204,2135.96,293.92,92.7706,-11.0128,159.1912,-19.3944,24.7,1,6
LNKB,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,2.8077,223.74,2.2374,223.74,0.0,17.1472,0.0,17.1472,17.1472,27.0,0,1
MEGI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,2.7421,300.84,3.0084,300.84,0.0,11.5096,0.0,11.5096,11.5096,42.0,0,1
AMAL,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,3,0,100.0,inf,2.5291,684.25,6.8425,684.25,0.0,17.0465,0.0,20.3737,13.2748,27.3,0,3
PENG,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,5.7838,2.5235,998.42,9.9842,1207.13,208.71,52.8048,-8.2534,80.7278,-8.4156,53.8,2,2
FSBC,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,2.4495,500.63,5.0063,500.63,0.0,15.3813,0.0,20.19,10.5725,37.5,0,2
NVRI,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,17.9091,2.4278,933.38,9.3338,988.58,55.2,34.8473,-4.0942,59.4231,-4.0942,29.0,0,4
OPFI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,6.8953,2.3932,1058.8,10.588,1238.4,179.6,53.6444,-11.6344,81.4672,-12.5885,21.8,0,4
AVAH,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,6.1793,2.3506,631.3,6.313,753.19,121.89,77.9864,-17.0,78.3505,-17.0,54.7,0,3
EVER,Communication Services,SECTOR_COMMUNICATION_SERVICES,B1,Batch 1 — 2022 to 2023,5,2,3,40.0,4.9831,2.3488,1037.36,10.3736,1297.8,260.44,85.9308,-12.011,103.8896,-14.1049,31.2,1,4
ABSI,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,5.0209,2.3376,720.75,7.2075,900.0,179.25,128.2051,-17.5761,128.2051,-19.5184,15.7,0,3
AROW,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,4.7074,2.2879,730.5,7.305,927.54,197.04,31.1669,-8.9381,51.0293,-9.7826,21.5,0,4
HWC,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,2.258,419.72,4.1972,419.72,0.0,17.2294,0.0,21.703,12.7558,43.5,0,2
MNPR,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,7.5984,2.2543,653.64,6.5364,752.7,99.06,46.4102,-12.7988,72.8205,-12.7988,12.3,0,3
AVBH,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,9.4542,2.2346,844.07,8.4407,943.91,99.84,15.2845,-0.9959,38.9032,-0.9959,35.0,0,4
AKBA,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,4,1,80.0,12.1617,2.2325,1115.5,11.155,1215.44,99.94,44.6183,-12.6645,116.4557,-12.6645,20.4,0,5
COIN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,5.0507,2.2201,823.15,8.2315,1026.36,203.21,82.6181,-19.303,110.5753,-20.2082,42.8,0,4
PLAB,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,78.0781,2.2142,878.69,8.7869,890.09,11.4,18.2751,-0.7353,43.6533,-0.7353,15.8,0,4
SLM,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,3,0,100.0,inf,2.2105,659.7,6.597,659.7,0.0,14.3741,0.0,26.0989,1.8496,29.0,1,2
CVNA,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,6.8782,2.1582,1153.65,11.5365,1349.91,196.26,99.9219,-18.1469,234.9057,-21.7632,39.2,2,3
MBIN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,5,1,83.33,14.2112,2.128,1302.1,13.021,1400.66,98.56,16.533,-6.3439,39.0866,-6.3439,28.3,0,6
HTBK,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,2.0695,206.4,2.064,206.4,0.0,19.8511,0.0,19.8511,19.8511,147.0,1,0
RCL,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,7,5,2,71.43,15.1816,2.0692,1422.41,14.2241,1522.71,100.3,25.8503,-3.0617,50.5418,-5.7626,27.7,1,6
CSL,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,4,4,0,100.0,inf,2.0494,779.98,7.7998,779.98,0.0,9.821,0.0,24.7022,2.5681,25.8,0,4
GBX,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,6.3555,2.0379,1204.73,12.0473,1429.68,224.95,30.9482,-5.5083,57.712,-8.1633,17.0,1,5
BCAL,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,2.026,221.52,2.2152,221.52,0.0,14.3145,0.0,14.3145,14.3145,35.0,0,1
NPO,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,7.7138,1.9999,1053.4,10.534,1210.3,156.9,19.3727,-3.5949,30.9183,-4.6745,20.3,0,6
TOST,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,6.9486,1.9981,593.55,5.9355,693.33,99.78,29.1546,-7.1299,41.8226,-7.1299,31.7,1,2
NHC,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,7.4422,1.9967,1017.68,10.1768,1175.65,157.97,15.476,-4.1825,35.282,-4.4027,24.2,0,5
AXTI,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,6,2,4,33.33,3.9897,1.9872,1191.85,11.9185,1590.5,398.65,70.7393,-9.2124,103.4483,-10.696,27.0,2,4
VSCO,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,1.9788,397.02,3.9702,397.02,0.0,22.3702,0.0,41.7454,2.995,21.5,0,2
ATEN,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,1.9751,361.88,3.6188,361.88,0.0,11.3711,0.0,13.9466,8.7956,79.5,0,2
ABBV,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,105.886,1.9309,570.58,5.7058,576.02,5.44,9.8219,-0.2094,13.9546,-0.2094,22.3,0,3
HUT,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,5.4352,1.9276,785.82,7.8582,963.0,177.18,82.7402,-17.45,163.3094,-20.0237,56.5,1,3
OFG,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,3,0,100.0,inf,1.9104,567.86,5.6786,567.86,0.0,10.4814,0.0,15.7812,0.7582,23.3,0,3
ABX,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,1,1,50.0,5.2462,1.8737,421.61,4.2161,520.9,99.29,56.2745,-14.5048,56.2745,-14.5048,23.5,0,2
COFS,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,8.474,1.8678,738.73,7.3873,837.57,98.84,23.1783,-5.2326,49.2109,-5.2326,22.8,0,4
TSBK,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,10.441,1.8675,1351.39,13.5139,1494.53,143.14,13.2783,-2.4521,21.2598,-4.171,23.1,0,7
ARHS,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,1.8584,184.5,1.845,184.5,0.0,15.3061,0.0,15.3061,15.3061,21.0,0,1
MARA,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,5,2,3,40.0,4.031,1.8301,904.56,9.0456,1203.0,298.44,101.0004,-20.1595,141.3043,-21.1234,44.2,1,4
NEOG,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,7.1353,1.823,735.31,7.3531,855.16,119.85,36.4468,-3.5836,54.4662,-5.4214,51.0,2,2
COKE,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,9.0059,1.7757,1225.3,12.253,1378.35,153.05,16.1681,-2.5431,34.2183,-3.8652,20.3,1,6
WEAV,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,7.9869,1.7545,876.58,8.7658,1002.04,125.46,32.9046,-7.1186,80.1336,-11.5481,30.6,0,5
TCBX,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,1.7469,305.54,3.0554,305.54,0.0,17.8738,0.0,27.1919,8.5556,49.0,0,2
FBP,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,241.7778,1.7373,520.08,5.2008,522.24,2.16,17.8377,-0.144,22.8477,-0.144,29.7,0,3
SSD,Materials,SECTOR_MATERIALS,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,9.0001,1.7367,1399.85,13.9985,1574.83,174.98,18.0356,-3.8852,34.3789,-6.2248,23.0,0,8
WULF,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,1,5,16.67,3.275,1.7283,1068.04,10.6804,1537.5,469.46,263.1579,-19.4099,263.1579,-25.5319,17.2,1,5
USB,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,5.9379,1.716,539.02,5.3902,648.18,109.16,20.9778,-4.3904,30.9713,-4.3904,69.3,1,2
CAR,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,6.878,1.7159,565.76,5.6576,662.01,96.25,24.4277,-7.9623,33.0577,-7.9623,19.8,0,4
NRDS,Communication Services,SECTOR_COMMUNICATION_SERVICES,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,5.0546,1.6806,806.54,8.0654,1005.46,198.92,33.453,-9.7482,82.9868,-10.5651,15.0,1,4
ACIC,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,5.6048,1.6772,1328.49,13.2849,1616.99,288.5,53.8326,-12.1278,192.5373,-13.929,14.0,0,8
HBNC,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,1,1,50.0,4.3074,1.6578,328.39,3.2839,427.68,99.29,40.1623,-5.3663,40.1623,-5.3663,80.0,1,1
RGTI,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,4,1,3,25.0,3.042,1.6516,651.22,6.5122,970.14,318.92,190.0,-19.6924,190.0,-21.1679,14.5,1,3
EXAS,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,5.5757,1.6426,647.69,6.4769,789.24,141.55,43.7477,-8.5304,74.3651,-11.455,22.5,0,4
PRCH,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,5,1,4,20.0,2.9833,1.6417,810.83,8.1083,1219.65,408.82,180.2083,-20.4195,180.2083,-25.0528,30.0,1,4
CARE,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,5,5,0,100.0,inf,1.6387,804.18,8.0418,804.18,0.0,9.2912,0.0,17.551,1.9155,24.4,2,3
TTI,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,4,2,2,50.0,5.6715,1.6364,663.17,6.6317,805.13,141.96,36.1401,-6.3333,69.3548,-9.3333,18.5,0,4
PFG,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,1.616,320.68,3.2068,320.68,0.0,7.0518,0.0,7.5645,6.5391,29.0,0,2
DLO,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,3.3991,1.5846,474.67,4.7467,672.52,197.85,59.0189,-12.8682,59.0189,-16.029,39.7,1,2
PTGX,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,9.2552,1.5818,940.52,9.4052,1054.45,113.93,26.9093,-8.3413,75.9009,-14.9122,26.3,1,5
GYRE,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,3.0952,1.5773,950.39,9.5039,1404.0,453.61,69.2557,-35.0919,121.7391,-56.25,30.3,1,5
BH,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,7,6,1,85.71,17.6859,1.5748,1093.26,10.9326,1158.78,65.52,10.3788,-3.9529,23.9612,-3.9529,19.4,0,7
VKTX,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,8,6,2,75.0,8.9667,1.5612,1194.13,11.9413,1344.02,149.89,31.0799,-8.6971,63.8132,-9.5208,24.8,0,8
JXN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,12.6041,1.5516,503.62,5.0362,547.02,43.4,16.529,-3.0572,18.4672,-3.0572,29.0,0,3
HP,Energy,SECTOR_ENERGY,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,1.5509,308.35,3.0835,308.35,0.0,12.3242,0.0,23.0571,1.5913,25.5,0,2
AAOI,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,7,6,1,85.71,11.7096,1.546,1070.1,10.701,1170.02,99.92,28.0844,-13.2408,62.5,-13.2408,30.0,1,6
GAP,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,6,5,1,83.33,9.6924,1.5267,867.59,8.6759,967.4,99.81,19.4195,-10.6311,37.666,-10.6311,31.5,1,5
UTL,Utilities,SECTOR_UTILITIES,B1,Batch 1 — 2022 to 2023,1,1,0,100.0,inf,1.514,151.2,1.512,151.2,0.0,7.5917,0.0,7.5917,7.5917,36.0,0,1
UVV,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,5,2,3,40.0,4.5632,1.508,748.23,7.4823,958.22,209.99,20.9436,-2.4007,30.4866,-3.9262,16.4,0,5
CHEF,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,2,2,0,100.0,inf,1.4659,308.96,3.0896,308.96,0.0,10.9906,0.0,15.566,6.4151,29.5,0,2
IDCC,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,4.3763,1.4658,1046.58,10.4658,1356.56,309.98,16.382,-6.4147,27.1733,-6.9388,22.7,0,7
ROKU,Communication Services,SECTOR_COMMUNICATION_SERVICES,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,5.1757,1.4454,410.51,4.1051,508.82,98.31,29.2765,-10.7213,38.6289,-10.7213,53.0,0,3
ENTA,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,2,1,1,50.0,4.8658,1.4387,304.97,3.0497,383.86,78.89,49.0337,-9.855,49.0337,-9.855,39.5,1,1
ASTH,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,4,4,0,100.0,inf,1.4383,561.14,5.6114,561.14,0.0,14.9642,0.0,30.3844,2.6677,34.0,0,4
ALRS,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,4.5484,1.4368,389.29,3.8929,499.0,109.71,18.048,-6.0199,21.9678,-6.0199,34.0,0,3
MASI,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,4.6702,1.4334,714.67,7.1467,909.39,194.72,25.0614,-8.8529,52.5327,-10.1125,41.0,2,3
UNTY,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,31.009,1.4332,432.13,4.3213,446.53,14.4,10.438,-1.108,14.8863,-1.108,25.7,0,3
BBIO,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,7,3,4,42.86,4.1458,1.4285,915.96,9.1596,1207.13,291.17,49.9322,-10.9999,76.8462,-18.5097,17.7,0,7
FNB,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,6,5,1,83.33,11.9291,1.4221,869.63,8.6963,949.2,79.57,10.2936,-5.0567,17.0859,-5.0567,25.0,0,6
TNGX,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,4,1,80.0,7.9978,1.422,696.49,6.9649,796.02,99.53,28.6055,-16.6143,65.6751,-16.6143,14.2,0,5
FRPT,Consumer Staples,SECTOR_CONSUMER_STAPLES,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,8.5193,1.4084,575.38,5.7538,651.9,76.52,21.9689,-12.4831,31.7917,-12.4831,49.8,1,3
NPCE,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,8.9816,1.4057,864.57,8.6457,972.89,108.32,58.4597,-6.8668,103.9648,-11.2112,13.8,0,6
BY,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,6.5391,1.4036,603.71,6.0371,712.7,108.99,10.6355,-6.8825,12.4888,-6.8825,34.8,0,4
MSBI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,5,5,0,100.0,inf,1.3997,657.78,6.5778,657.78,0.0,7.6572,0.0,11.1614,1.7358,23.0,0,5
ANF,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,10,7,3,70.0,4.8784,1.3988,1252.22,12.5222,1575.09,322.87,19.7415,-9.9607,37.8502,-15.5018,19.1,1,9
APP,Communication Services,SECTOR_COMMUNICATION_SERVICES,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,4.163,1.3904,804.96,8.0496,1059.45,254.49,42.1097,-8.4327,99.1554,-13.9688,26.0,1,5
MKSI,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,5,3,2,60.0,5.0593,1.3897,679.81,6.7981,847.28,167.47,21.281,-5.7779,23.3663,-7.2248,22.2,0,5
HLLY,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,5,2,3,40.0,2.5343,1.3836,691.05,6.9105,1141.46,450.41,67.8812,-16.3474,134.2857,-18.0141,20.6,1,4
OSCR,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,6,3,3,50.0,5.3705,1.3767,845.99,8.4599,1039.56,193.57,43.6471,-8.424,106.0,-12.2574,26.2,1,5
CATY,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,3,0,100.0,inf,1.3734,369.42,3.6942,369.42,0.0,8.6174,0.0,14.3308,0.0275,26.7,0,3
BBW,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,4,3,1,75.0,7.6477,1.3514,539.26,5.3926,620.38,81.12,18.3225,-5.977,27.1545,-5.977,18.0,0,4
TWN,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,6.8258,1.3382,1039.84,10.3984,1218.33,178.49,11.224,-2.4288,20.945,-4.645,22.9,1,6
ADP,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,7.1786,1.3366,429.66,4.2966,499.2,69.54,14.2511,-1.0484,14.2511,-1.5847,19.7,0,3
ESPR,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,5,2,3,40.0,4.0999,1.3302,684.0,6.84,904.65,220.65,82.9968,-11.2636,105.3097,-15.4002,37.0,2,3
GFF,Industrials,SECTOR_INDUSTRIALS,B1,Batch 1 — 2022 to 2023,10,4,6,40.0,4.9035,1.3203,1315.34,13.1534,1652.3,336.96,26.5273,-3.8855,38.3884,-7.5344,16.1,0,10
PACK,Consumer Discretionary,SECTOR_CONSUMER_DISCRETIONARY,B1,Batch 1 — 2022 to 2023,3,2,1,66.67,4.8093,1.3173,394.26,3.9426,497.76,103.5,33.6736,-16.0839,36.4066,-16.0839,63.7,0,3
EXTR,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,8,6,2,75.0,10.7831,1.3131,1037.4,10.374,1143.44,106.04,15.3664,-3.6178,31.6406,-6.7619,16.9,1,7
INBX,Healthcare,SECTOR_HEALTHCARE,B1,Batch 1 — 2022 to 2023,6,4,2,66.67,6.2714,1.3093,774.11,7.7411,920.96,146.85,37.2629,-9.8358,63.7778,-13.7359,17.3,0,6
MYI,Financials,SECTOR_FINANCIALS,B1,Batch 1 — 2022 to 2023,3,1,2,33.33,2.9593,1.3033,391.01,3.9101,590.58,199.57,15.3307,-2.7578,15.3307,-2.8728,85.3,1,2
AMKR,Technology,SECTOR_TECHNOLOGY,B1,Batch 1 — 2022 to 2023,7,4,3,57.14,6.0084,1.3001,927.81,9.2781,1113.06,185.25,21.0279,-5.0246,40.5447,-8.6997,16.3,0,7
NGL,Energy,SECTOR_ENERGY,B1,Batch 1 — 2022 to 2023,8,5,3,62.5,4.6609,1.2998,1023.96,10.2396,1303.66,279.7,24.5772,-9.8738,45.4545,-11.1352,15.6,1,7
